prompt,template_id,token_length,n_layers,ftle_final,ftle_final_std,expansive_frac,entropy,top1_prob,label,prompt_idx
Who is the author of the book The Trial?,who is the author of the book <e> <e>?,39,23,0.08881481944328376,0.009901452550568528,0.8043478260869565,1.4168975353240967,0.6265013217926025,factual,47
Name the capital city of the country called Nigeria.,name the capital city of the country called <e>.,39,23,0.08846495608148583,0.011966075280804222,0.8043478260869565,0.31920379400253296,0.9462710618972778,factual,48
Who is the author of the book Hamlet?,who is the author of the book <e>?,39,23,0.09296897685290499,0.011660224698893,0.7771739130434783,1.8037136793136597,0.6158077120780945,factual,49
On which continent is the country of Serbia located?,on which continent is the country of <e> located?,39,23,0.0943291140242348,0.005212975820077967,0.826086956521739,0.8448054194450378,0.6732843518257141,factual,50
Who is the author of the book The Odyssey?,who is the author of the book <e> <e>?,39,23,0.09822108110840197,0.011522333289829143,0.7717391304347826,1.0007927417755127,0.7975749969482422,factual,51
Name the capital city of the country called Ecuador.,name the capital city of the country called <e>.,39,23,0.09628693867732771,0.011402681604870768,0.7934782608695652,0.2275259643793106,0.9679311513900757,factual,52
On which continent is the country of Ghana located?,on which continent is the country of <e> located?,39,23,0.08266713569378815,0.003422728976273168,0.8152173913043478,0.9415318965911865,0.5115021467208862,factual,53
Name the capital city of the country called Thailand.,name the capital city of the country called <e>.,39,23,0.10172585201530757,0.019592016683426965,0.8097826086956522,0.39894935488700867,0.930950403213501,factual,54
On which continent is the country of Nepal located?,on which continent is the country of <e> located?,39,23,0.0953630232255316,0.011269894345785833,0.7880434782608696,0.8660199642181396,0.6429189443588257,factual,55
Name the capital city of the country called India.,name the capital city of the country called <e>.,39,23,0.09607847100188695,0.0184880179926566,0.8043478260869565,0.4854753017425537,0.9151996374130249,factual,56
What is the standard chemical symbol of the element carbon?,what is the standard chemical symbol of the element carbon?,40,23,0.09031068629780514,0.012701554000127156,0.8206521739130435,0.10215035825967789,0.986491858959198,factual,57
What is the official currency of the country of Thailand?,what is the official currency of the country of <e>?,40,23,0.09251619935279422,0.016363320788944844,0.8152173913043479,1.262726902961731,0.6891088485717773,factual,58
What is the standard chemical symbol of the element neon?,what is the standard chemical symbol of the element neon?,40,23,0.10108075799560254,0.01225033324639891,0.798913043478261,0.20838697254657745,0.961288571357727,factual,59
"What is the planet Earth mostly made of, briefly?","what is the planet <e> mostly made of, briefly?",40,23,0.09228664547753768,0.014856636782755768,0.8260869565217391,1.162398338317871,0.5432360172271729,factual,60
What is the standard chemical symbol of the element helium?,what is the standard chemical symbol of the element helium?,40,23,0.09421275044552144,0.013463674998142218,0.8152173913043479,0.34828317165374756,0.9216827750205994,factual,61
What is the standard chemical symbol of the element silver?,what is the standard chemical symbol of the element silver?,40,23,0.08815787284582488,0.012361723367865687,0.798913043478261,0.20344877243041992,0.9617131948471069,factual,62
What is the standard chemical symbol of the element sulfur?,what is the standard chemical symbol of the element sulfur?,40,23,0.08389606464015618,0.010124286214658029,0.7989130434782609,0.13464847207069397,0.9784664511680603,factual,63
Who is the author of the book War and Peace?,who is the author of the book <e> and <e>?,40,23,0.09887176219329513,0.006115350441162918,0.7880434782608696,2.0995280742645264,0.5561797022819519,factual,64
What is the standard chemical symbol of the element hydrogen?,what is the standard chemical symbol of the element hydrogen?,40,23,0.0908211895842868,0.012217730194691844,0.8260869565217391,0.09742294251918793,0.9876335859298706,factual,65
What is the standard chemical symbol of the element copper?,what is the standard chemical symbol of the element copper?,40,23,0.08888451420089145,0.011100141032059174,0.8260869565217391,0.13068632781505585,0.9803966283798218,factual,66
What is the standard chemical symbol of the element oxygen?,what is the standard chemical symbol of the element oxygen?,40,23,0.08485908208336675,0.005761764442416098,0.7934782608695652,0.11544041335582733,0.9847057461738586,factual,67
Name the capital city of the country called Paraguay.,name the capital city of the country called <e>.,40,23,0.09292612913567516,0.009807776693192884,0.7934782608695653,0.31961697340011597,0.9414730668067932,factual,68
What is the standard chemical symbol of the element nitrogen?,what is the standard chemical symbol of the element nitrogen?,40,23,0.09242696170551047,0.01038203761962467,0.8478260869565217,0.11420482397079468,0.9855319857597351,factual,69
What is the standard chemical symbol of the element chlorine?,what is the standard chemical symbol of the element chlorine?,40,23,0.10142167583701392,0.015153417241191148,0.842391304347826,0.13511255383491516,0.9823870658874512,factual,70
What is the standard chemical symbol of the element gold?,what is the standard chemical symbol of the element gold?,40,23,0.0979009823805645,0.013646057254166498,0.8097826086956522,0.1318427473306656,0.9795854091644287,factual,71
On which continent is the country of Paraguay located?,on which continent is the country of <e> located?,40,23,0.08334038695658885,0.008143708469143219,0.8369565217391305,0.9535316824913025,0.5502590537071228,factual,72
What is the standard chemical symbol of the element tin?,what is the standard chemical symbol of the element tin?,40,23,0.09321798833004868,0.013684527834121099,0.8315217391304348,0.13894949853420258,0.979963481426239,factual,73
What is the standard chemical symbol of the element nickel?,what is the standard chemical symbol of the element nickel?,40,23,0.09245871722194801,0.007003690831766688,0.8315217391304348,0.08786000311374664,0.9900228381156921,factual,74
What is the standard chemical symbol of the element zinc?,what is the standard chemical symbol of the element zinc?,40,23,0.09673398257028867,0.009019072926968772,0.8478260869565217,0.1279735267162323,0.9794076681137085,factual,75
What is the standard chemical symbol of the element iron?,what is the standard chemical symbol of the element iron?,40,23,0.09854164613641592,0.014937582636250286,0.8423913043478262,0.15929727256298065,0.9728187322616577,factual,76
What is the standard chemical symbol of the element potassium?,what is the standard chemical symbol of the element potassium?,40,23,0.0860723816406203,0.008744902296341235,0.7989130434782609,0.1353292167186737,0.9809678196907043,factual,77
What is the standard chemical symbol of the element magnesium?,what is the standard chemical symbol of the element magnesium?,40,23,0.09008438305320421,0.01043787691213638,0.8043478260869565,0.12194880843162537,0.9839895367622375,factual,78
What is the standard chemical symbol of the element calcium?,what is the standard chemical symbol of the element calcium?,40,23,0.09228262043359184,0.014139721066457514,0.8152173913043479,0.11791516840457916,0.9848598837852478,factual,79
What is the standard chemical symbol of the element sodium?,what is the standard chemical symbol of the element sodium?,40,23,0.09601527769713378,0.010600617346910056,0.8532608695652174,0.09182681143283844,0.9890537261962891,factual,80
What is the standard chemical symbol of the element lead?,what is the standard chemical symbol of the element lead?,40,23,0.08896015358134099,0.018010677138196384,0.7934782608695652,0.14254474639892578,0.9783655405044556,factual,81
What is the official currency of the country of Austria?,what is the official currency of the country of <e>?,40,23,0.08696666365751668,0.010436019493214549,0.8043478260869565,1.416931390762329,0.6019971370697021,factual,82
"What is the planet Venus mostly made of, briefly?","what is the planet <e> mostly made of, briefly?",40,23,0.08788985425061029,0.004805354216149987,0.7989130434782609,1.3004815578460693,0.702700138092041,factual,83
What is the official currency of the country of Greece?,what is the official currency of the country of <e>?,40,23,0.08655674647797174,0.00715050231676844,0.8206521739130435,1.4061485528945923,0.624828040599823,factual,84
"What is the planet Neptune mostly made of, briefly?","what is the planet <e> mostly made of, briefly?",40,23,0.08894420329503536,0.006428838345316919,0.7826086956521738,0.859859049320221,0.8494741320610046,factual,85
What is the official currency of the country of Malaysia?,what is the official currency of the country of <e>?,40,23,0.09577899089596069,0.010991820797166396,0.8315217391304348,1.193703293800354,0.6795786619186401,factual,86
"What is the planet Mercury mostly made of, briefly?","what is the planet <e> mostly made of, briefly?",40,23,0.09112845795764785,0.007505075837700643,0.8315217391304348,0.5618296265602112,0.9091053009033203,factual,87
What is the official currency of the country of Belgium?,what is the official currency of the country of <e>?,40,23,0.09577702124550516,0.01338885867419299,0.8369565217391304,1.3089159727096558,0.6186835765838623,factual,88
"What is the planet Mars mostly made of, briefly?","what is the planet <e> mostly made of, briefly?",40,23,0.0838511860554893,0.007102652980687226,0.8206521739130435,1.8013594150543213,0.5318318605422974,factual,89
"What is the planet Uranus mostly made of, briefly?","what is the planet <e> mostly made of, briefly?",41,23,0.08195560243311048,0.0024354794243251227,0.8152173913043479,1.0933237075805664,0.7714383006095886,factual,90
Who is the author of the book Ulysses?,who is the author of the book <e>?,41,23,0.10729249395387358,0.016333937145664983,0.782608695652174,2.105921983718872,0.445667564868927,factual,91
Give the periodic-table symbol for the chemical element called gold.,give the periodic-table symbol for the chemical element called gold.,41,23,0.08988506027841733,0.0040445298145695245,0.798913043478261,0.2469797283411026,0.9611663222312927,factual,92
Give the periodic-table symbol for the chemical element called lead.,give the periodic-table symbol for the chemical element called lead.,41,23,0.10244601710897336,0.013145207142397494,0.8043478260869565,0.34690019488334656,0.9334810376167297,factual,93
Give the periodic-table symbol for the chemical element called nitrogen.,give the periodic-table symbol for the chemical element called nitrogen.,41,23,0.09447922221368826,0.009323941253059199,0.8206521739130435,0.35602861642837524,0.938027560710907,factual,94
Name the main official language used in the country called Colombia.,name the main official language used in the country called <e>.,41,23,0.09965129635511943,0.00850223381911304,0.8315217391304347,1.2488040924072266,0.7893202304840088,factual,95
Name the most populous city located within the country called Colombia.,name the most populous city located within the country called <e>.,41,23,0.08896937397089516,0.010950811020729789,0.7826086956521738,0.9911848902702332,0.8518407344818115,factual,96
Give a one-sentence definition of the scientific term combustion.,give a one-sentence definition of the scientific term combustion.,41,23,0.0968442459407979,0.0042181166040259855,0.7663043478260869,0.556145191192627,0.872721254825592,factual,97
Give the periodic-table symbol for the chemical element called copper.,give the periodic-table symbol for the chemical element called copper.,41,23,0.09183185479711953,0.009828111754186866,0.8097826086956522,0.3124781847000122,0.9475972056388855,factual,98
Give the periodic-table symbol for the chemical element called chlorine.,give the periodic-table symbol for the chemical element called chlorine.,41,23,0.08937799948419066,0.011670785294795958,0.7608695652173914,0.37616848945617676,0.935815155506134,factual,99
Give the periodic-table symbol for the chemical element called iron.,give the periodic-table symbol for the chemical element called iron.,41,23,0.08577377493593058,0.0075667770284999865,0.7989130434782609,0.3703852891921997,0.9201450347900391,factual,100
Give the periodic-table symbol for the chemical element called zinc.,give the periodic-table symbol for the chemical element called zinc.,41,23,0.08949857584948324,0.008439996083128827,0.8043478260869565,0.3178412914276123,0.9385160803794861,factual,101
Give a one-sentence definition of the scientific term fermentation.,give a one-sentence definition of the scientific term fermentation.,41,23,0.09734171634948863,0.006333880527964532,0.7934782608695652,0.48001179099082947,0.9185765385627747,factual,102
What is the official currency of the country of Paraguay?,what is the official currency of the country of <e>?,41,23,0.08688367565107227,0.009686845736826908,0.8152173913043478,1.3545297384262085,0.6358463764190674,factual,103
Give the periodic-table symbol for the chemical element called tin.,give the periodic-table symbol for the chemical element called tin.,41,23,0.09439638868257946,0.010937988297971922,0.8097826086956522,0.41762998700141907,0.9171653389930725,factual,104
Give the periodic-table symbol for the chemical element called sulfur.,give the periodic-table symbol for the chemical element called sulfur.,41,23,0.092349076055219,0.010934812160696127,0.8097826086956522,0.4489646553993225,0.8992902040481567,factual,105
Give the periodic-table symbol for the chemical element called magnesium.,give the periodic-table symbol for the chemical element called magnesium.,41,23,0.09321597613101398,0.011550021719387842,0.7989130434782609,0.3081659972667694,0.9479668736457825,factual,106
Give the periodic-table symbol for the chemical element called hydrogen.,give the periodic-table symbol for the chemical element called hydrogen.,41,23,0.0929857757122872,0.007519748899734586,0.8097826086956521,0.32409632205963135,0.9434592127799988,factual,107
Give the periodic-table symbol for the chemical element called oxygen.,give the periodic-table symbol for the chemical element called oxygen.,41,23,0.09160360734400959,0.005654692343096186,0.8369565217391304,0.32303690910339355,0.9457695484161377,factual,108
Give the periodic-table symbol for the chemical element called helium.,give the periodic-table symbol for the chemical element called helium.,41,23,0.09452965856633058,0.007774208982395734,0.7771739130434783,0.6107368469238281,0.8656867146492004,factual,109
Give a one-sentence definition of the scientific term erosion.,give a one-sentence definition of the scientific term erosion.,41,23,0.09652863810148214,0.004712574656756824,0.7989130434782609,0.20368102192878723,0.9739795327186584,factual,110
Give a one-sentence definition of the scientific term inertia.,give a one-sentence definition of the scientific term inertia.,41,23,0.09734249057035163,0.0046180872105079165,0.8206521739130435,0.21604540944099426,0.969399094581604,factual,111
Give the periodic-table symbol for the chemical element called calcium.,give the periodic-table symbol for the chemical element called calcium.,41,23,0.09316315447843919,0.010941114513610427,0.7934782608695652,0.26106441020965576,0.959260106086731,factual,112
Give the periodic-table symbol for the chemical element called neon.,give the periodic-table symbol for the chemical element called neon.,41,23,0.09662548254635103,0.011350462935689686,0.7934782608695652,0.5417167544364929,0.8696863055229187,factual,113
Who is the author of the book Don Quixote?,who is the author of the book <e> <e>?,41,23,0.10062584104478992,0.015459770727630263,0.7663043478260869,1.5763328075408936,0.44524821639060974,factual,114
Give the periodic-table symbol for the chemical element called sodium.,give the periodic-table symbol for the chemical element called sodium.,41,23,0.10075099959079113,0.018984697649878292,0.7934782608695652,0.2926132082939148,0.9492439031600952,factual,115
Give a one-sentence definition of the scientific term gravity.,give a one-sentence definition of the scientific term gravity.,41,23,0.09285325148079811,0.009079192031217828,0.7880434782608696,0.1781170815229416,0.9697259068489075,factual,116
Give a one-sentence definition of the scientific term diffusion.,give a one-sentence definition of the scientific term diffusion.,41,23,0.0944760115588351,0.0035477899499740864,0.7880434782608696,0.20157092809677124,0.9696564078330994,factual,117
Give the periodic-table symbol for the chemical element called nickel.,give the periodic-table symbol for the chemical element called nickel.,41,23,0.09224598671424414,0.005967182130497725,0.8206521739130435,0.28551238775253296,0.9578012228012085,factual,118
What is the primary official language of the country of France?,what is the primary official language of the country of <e>?,41,23,0.09358681230764254,0.01444156747548609,0.8260869565217391,1.0952750444412231,0.7464687824249268,factual,119
Give the periodic-table symbol for the chemical element called silver.,give the periodic-table symbol for the chemical element called silver.,41,23,0.08758217584930181,0.011642104900983007,0.8043478260869565,0.6003619432449341,0.8089100122451782,factual,120
Name the official national currency used in the country called Slovenia.,name the official national currency used in the country called <e>.,41,23,0.09235162272448477,0.011590393445863281,0.7934782608695652,1.5446507930755615,0.48948779702186584,factual,121
Give the periodic-table symbol for the chemical element called potassium.,give the periodic-table symbol for the chemical element called potassium.,41,23,0.09232922439133379,0.011382819488542181,0.8043478260869565,0.3731512129306793,0.9288845658302307,factual,122
Give the periodic-table symbol for the chemical element called carbon.,give the periodic-table symbol for the chemical element called carbon.,41,23,0.09591840630817995,0.01589017689148225,0.7880434782608695,0.2790212333202362,0.9550792574882507,factual,123
Name the main official language used in the country called Italy.,name the main official language used in the country called <e>.,41,23,0.09160823805305512,0.008120587512612422,0.8260869565217391,1.4386266469955444,0.5614911317825317,factual,124
Name the most populous city located within the country called Nepal.,name the most populous city located within the country called <e>.,41,23,0.09638748207860613,0.012628253513337713,0.7989130434782609,1.145216941833496,0.7794943451881409,factual,125
Name the main official language used in the country called Paraguay.,name the main official language used in the country called <e>.,42,23,0.08997479225197266,0.012504372703670791,0.8260869565217391,1.2168986797332764,0.7281579375267029,factual,126
Give a one-sentence definition of the scientific term refraction.,give a one-sentence definition of the scientific term refraction.,42,23,0.0924546203394287,0.006962497223190155,0.8206521739130435,0.37445542216300964,0.9425708055496216,factual,127
Give a one-sentence definition of the scientific term natural selection.,give a one-sentence definition of the scientific term natural selection.,42,23,0.08517899352322306,0.008638501684722851,0.7880434782608696,0.10881438851356506,0.9846299290657043,factual,128
Give a one-sentence definition of the scientific term magnetism.,give a one-sentence definition of the scientific term magnetism.,42,23,0.09117422020081692,0.003893119801552028,0.8043478260869565,0.21669046580791473,0.9668344855308533,factual,129
Give a one-sentence definition of the scientific term photosynthesis.,give a one-sentence definition of the scientific term photosynthesis.,42,23,0.09476490735461102,0.004029585084116549,0.8043478260869565,0.05037882179021835,0.9944604635238647,factual,130
What is the largest city by population in the country of Iceland?,what is the largest city by population in the country of <e>?,42,23,0.09593087321606114,0.012192215058665993,0.8315217391304348,1.4684592485427856,0.42416638135910034,factual,131
Give a one-sentence definition of the scientific term respiration.,give a one-sentence definition of the scientific term respiration.,42,23,0.09419801041697008,0.008187052227362072,0.7934782608695652,0.0786040872335434,0.9897260069847107,factual,132
Give a one-sentence definition of the scientific term evaporation.,give a one-sentence definition of the scientific term evaporation.,42,23,0.09128242761686592,0.004975558612367885,0.7826086956521738,0.27658867835998535,0.9426915049552917,factual,133
Give a one-sentence definition of the scientific term condensation.,give a one-sentence definition of the scientific term condensation.,42,23,0.09709413896783314,0.0068450817368702,0.8315217391304348,0.11875665932893753,0.9844937324523926,factual,134
Name the official national currency used in the country called Paraguay.,name the official national currency used in the country called <e>.,42,23,0.08351225558952222,0.008936616624097119,0.842391304347826,1.6200307607650757,0.5334228873252869,factual,135
Name the most populous city located within the country called Paraguay.,name the most populous city located within the country called <e>.,42,23,0.09115805707062394,0.0041325860972459445,0.8043478260869565,1.245984673500061,0.7093130350112915,factual,136
Who is the author of the book 1984?,who is the author of the book #?,42,23,0.09734705987806558,0.013205323967457506,0.7989130434782609,2.4435760974884033,0.276774525642395,factual,137
What is the primary official language of the country of Paraguay?,what is the primary official language of the country of <e>?,42,23,0.0888356038055189,0.009529595464751774,0.8206521739130435,0.8697894215583801,0.8078017830848694,factual,138
What is the largest city by population in the country of Tunisia?,what is the largest city by population in the country of <e>?,42,23,0.08517955583169502,0.0074307773060247355,0.8043478260869565,1.7729157209396362,0.5064947605133057,factual,139
What is the largest city by population in the country of Slovakia?,what is the largest city by population in the country of <e>?,42,23,0.09740849928979135,0.014682085414590543,0.8206521739130435,1.192090392112732,0.7438241243362427,factual,140
What is the largest city by population in the country of Canada?,what is the largest city by population in the country of <e>?,42,23,0.0850812492530296,0.009244061864713344,0.8043478260869565,1.0564568042755127,0.7952723503112793,factual,141
What is the largest city by population in the country of Peru?,what is the largest city by population in the country of <e>?,42,23,0.08701810737721742,0.005904739631504172,0.7989130434782609,1.2095553874969482,0.7648525834083557,factual,142
"Which continent is the country called Greece part of, in one word?","which continent is the country called <e> part of, in one word?",43,23,0.09503460592910692,0.008232230455810811,0.8315217391304348,1.0957227945327759,0.7847932577133179,factual,143
What is the largest city by population in the country of Paraguay?,what is the largest city by population in the country of <e>?,43,23,0.08300807256309603,0.0034029372228158434,0.8043478260869565,1.3634397983551025,0.7161090970039368,factual,144
State the official capital city of the nation of Greece in one word.,state the official capital city of the nation of <e> in one word.,43,23,0.10180903626252846,0.007988671852331933,0.8043478260869565,0.6377881169319153,0.907788872718811,factual,145
Give a one-sentence definition of the scientific term osmosis.,give a one-sentence definition of the scientific term osmosis.,43,23,0.09121631887582482,0.003838652844581601,0.7880434782608695,0.21973124146461487,0.9683775305747986,factual,146
Name the writer who is the author of the literary work Faust.,name the writer who is the author of the literary work <e>.,43,23,0.09517658957641345,0.009025965108080685,0.8097826086956521,1.342018723487854,0.8092813491821289,factual,147
Name the writer who is the author of the literary work The Odyssey.,name the writer who is the author of the literary work <e> <e>.,43,23,0.09944549951130345,0.012752233198390592,0.8152173913043479,0.9052489399909973,0.8717329502105713,factual,148
"Which continent is the country called Jordan part of, in one word?","which continent is the country called <e> part of, in one word?",43,23,0.1049225806485473,0.005307006841441321,0.8206521739130435,0.6400112509727478,0.8312949538230896,factual,149
State the official capital city of the nation of Lithuania in one word.,state the official capital city of the nation of <e> in one word.,43,23,0.10724973962568299,0.008701457408040628,0.7554347826086957,1.2152785062789917,0.7444497346878052,factual,150
Name the writer who is the author of the literary work Hamlet.,name the writer who is the author of the literary work <e>.,43,23,0.09772848701159258,0.015079693330603558,0.8043478260869565,1.5042351484298706,0.747933566570282,factual,151
Name the writer who is the author of the literary work The Trial.,name the writer who is the author of the literary work <e> <e>.,43,23,0.09473371688228127,0.011954972698610304,0.7989130434782609,1.0572500228881836,0.8276939392089844,factual,152
"Which continent is the country called Tunisia part of, in one word?","which continent is the country called <e> part of, in one word?",43,23,0.10430702884446871,0.007492715873705281,0.8152173913043479,2.15099835395813,0.4670543968677521,factual,153
State the official capital city of the nation of Norway in one word.,state the official capital city of the nation of <e> in one word.,43,23,0.10720467478903609,0.00545143487068791,0.7554347826086957,1.331974983215332,0.7745791077613831,factual,154
Name the writer who is the author of the literary work The Stranger.,name the writer who is the author of the literary work <e> <e>.,43,23,0.0896527748840868,0.007482588375092024,0.8260869565217391,1.051293134689331,0.8248683214187622,factual,155
"In one short sentence, explain what the term diffusion means in natural science.","in one short sentence, explain what the term diffusion means in natural science.",44,23,0.09078165954913195,0.004473918860931347,0.8043478260869565,0.28570330142974854,0.9534249901771545,factual,156
"In one short sentence, explain what the term erosion means in natural science.","in one short sentence, explain what the term erosion means in natural science.",44,23,0.09761349105384018,0.005758052739858548,0.8097826086956521,0.6451927423477173,0.8838353753089905,factual,157
