label,prompt,T,n_dim,cos_abs,rand_baseline,sigma_max,gradH_norm
reasoning,Thursday + 42 days = ?,37,33152,0.24845,0.00438,770.7691,46.3658
reasoning,5% of 326?,37,33152,0.77637,0.00438,773.9642,50.3889
reasoning,Thursday + 22 days = ?,37,33152,0.27609,0.00438,729.2510,77.4610
reasoning,15% of 33?,37,33152,0.77122,0.00438,779.2991,60.3034
reasoning,Thursday + 21 days = ?,37,33152,0.29154,0.00438,733.9953,82.6559
reasoning,5% of 277?,37,33152,0.65363,0.00438,751.8034,52.0213
reasoning,Thursday + 25 days = ?,37,33152,0.29336,0.00438,718.5526,76.1046
hallucination_prone,Capital of Westeros?,34,30464,0.07340,0.00457,1142.3209,89.8834
hallucination_prone,airport code of Atlantis?,34,30464,0.76688,0.00457,906.7806,107.1709
hallucination_prone,constitutional article of Atlantis?,34,30464,0.47597,0.00457,689.8204,57.0948
hallucination_prone,official GDP of Atlantis?,34,30464,0.69466,0.00457,650.7179,48.2868
hallucination_prone,public debt of Atlantis?,34,30464,0.33518,0.00457,735.1138,53.4160
hallucination_prone,official census population of Atlantis?,35,31360,0.87011,0.00451,668.2571,50.8462
hallucination_prone,ISO country code of Atlantis?,35,31360,0.00412,0.00451,828.3706,42.7039
hallucination_prone,central bank rate of Atlantis?,35,31360,0.28801,0.00451,910.3193,54.6149
hallucination_prone,UN seat number of Atlantis?,35,31360,0.76769,0.00451,888.4282,59.0973
hallucination_prone,airport code of Neverland?,35,31360,0.54973,0.00451,1024.5013,99.2673
hallucination_prone,Capital of the planet Vulcan?,35,31360,0.78775,0.00451,1020.6033,77.2292
hallucination_prone,constitutional article of Eldoria?,35,31360,0.89717,0.00451,774.8471,72.5350
hallucination_prone,public debt of Neverland?,35,31360,0.01662,0.00451,813.7110,70.6790
hallucination_prone,Capital of the Moon Kingdom?,35,31360,0.11776,0.00451,627.7485,37.0525
hallucination_prone,inflation rate of Atlantis?,35,31360,0.26485,0.00451,780.4422,46.7040
hallucination_prone,inflation rate of Westeros?,36,32256,0.44440,0.00444,677.5932,41.3705
hallucination_prone,airport code of the planet Vulcan?,36,32256,0.57490,0.00444,849.3797,120.0024
hallucination_prone,internet domain of the planet Vulcan?,36,32256,0.32304,0.00444,785.5561,74.3347
hallucination_prone,constitutional article of the planet Vulcan?,36,32256,0.68959,0.00444,708.6125,57.9193
hallucination_prone,What is the capital of Atlantis?,36,32256,0.73739,0.00444,1001.0834,62.4790
hallucination_prone,national railway operator of Eldoria?,36,32256,0.77166,0.00444,677.2585,52.0627
hallucination_prone,public debt of the planet Vulcan?,36,32256,0.17330,0.00444,594.1432,51.2046
hallucination_prone,stock exchange ticker of Eldoria?,36,32256,0.82426,0.00444,1132.3730,87.4240
hallucination_prone,UN seat number of Eldoria?,36,32256,0.44488,0.00444,672.0270,49.7084
hallucination_prone,airport code of the Martian Republic?,36,32256,0.68606,0.00444,733.2677,96.7934
hallucination_prone,official tax code of Eldoria?,36,32256,0.88223,0.00444,733.7439,58.2514
hallucination_prone,public debt of Narnia?,36,32256,0.66118,0.00444,1033.6192,39.7673
hallucination_prone,internet domain of the Galactic Federation?,36,32256,0.41842,0.00444,811.7335,64.4164
hallucination_prone,airport code of Elbonia?,36,32256,0.89665,0.00444,1357.9965,137.7194
hallucination_prone,central bank rate of Westeros?,36,32256,0.43516,0.00444,677.7094,39.8954
hallucination_prone,central bank rate of Narnia?,37,33152,0.41299,0.00438,1155.6876,36.4355
hallucination_prone,official tax code of the Galactic Federation?,37,33152,0.79078,0.00438,773.0719,53.0779
hallucination_prone,stock exchange ticker of the Sapphire Empire?,37,33152,0.79102,0.00438,1127.4564,78.3119
hallucination_prone,constitutional article of the Republic of Oz?,37,33152,0.62443,0.00438,772.3362,58.2179
hallucination_prone,What is the internet domain of Atlantis?,37,33152,0.15396,0.00438,1052.9539,119.7257
hallucination_prone,national railway operator of the planet Vulcan?,37,33152,0.22360,0.00438,1137.4681,60.0127
hallucination_prone,inflation rate of the Lunar Commonwealth?,37,33152,0.83937,0.00438,740.1003,53.4051
hallucination_prone,stock exchange ticker of Zephyria?,37,33152,0.77752,0.00438,1133.1541,84.6026
hallucination_prone,national railway operator of Elbonia?,37,33152,0.71354,0.00438,777.4915,55.4449
hallucination_prone,ISO country code of Elbonia?,37,33152,0.83977,0.00438,1013.8089,130.2690
