prompt,label,h_pre_norm,h_post_norm,prompt_ppl,sigma_max
What is the chemical symbol of neon?,factual,71.83545684814453,310.09222412109375,29.25283008620778,894.5250497887463
What language is spoken in Paraguay?,factual,70.80207061767578,314.003173828125,25.266624110224452,785.8367892633745
What is the chemical symbol of helium?,factual,71.0257797241211,310.86474609375,26.95703465351826,928.7140806173828
Who wrote 1984?,factual,72.42092895507812,303.23956298828125,46.770927948094354,1122.0805475675777
Java: sort numbers.,coding,69.82770538330078,312.3367919921875,3028.94385921986,599.7391121242105
Python: count vowels.,coding,70.35448455810547,304.4127197265625,1056.506276964275,569.0366323392312
Python: trim whitespace.,coding,68.64329528808594,303.35650634765625,1199.8507689950657,694.1171133726151
JavaScript: count vowels.,coding,70.36000061035156,307.66107177734375,3055.283559749248,624.5847993027917
JavaScript: remove duplicates.,coding,69.8096694946289,305.668701171875,901.7978938156039,732.8664205446204
Java: find the average.,coding,70.36664581298828,309.8332214355469,460.72662861386107,723.8985636851627
Ruby: check a palindrome.,coding,69.5329360961914,304.0718688964844,804.2973690546742,918.7205715002702
Ruby: implement binary search.,coding,73.10368347167969,314.08392333984375,192.07976499825276,770.6531783812848
Go: check a palindrome.,coding,66.36038970947266,303.8890075683594,1115.6387057500494,836.0105579709677
Java: reverse a string.,coding,68.53602600097656,299.21484375,118.26250593823906,635.5443996157284
Ruby: split on commas.,coding,68.50157928466797,303.380126953125,867.0603527368763,865.3036596505015
JavaScript: merge overlapping intervals.,coding,71.02793884277344,309.6905212402344,926.5911771322353,645.6286754815646
JavaScript: flatten a list.,coding,71.56753540039062,311.82513427734375,394.92236201660813,643.1017594962366
Python: square each element.,coding,68.73391723632812,299.136962890625,469.7280775221364,595.8307392627529
Python: filter even numbers.,coding,70.16671752929688,298.6080627441406,335.1638581907819,588.4444078853043
JavaScript: round to two decimals.,coding,67.54345703125,301.61236572265625,115.33763340249483,719.3340746247961
C++: split on commas.,coding,68.83368682861328,308.6714172363281,362.8159301094098,582.2111413685853
TypeScript: find the average.,coding,70.13888549804688,305.5441589355469,274.5411990860889,758.5919326307524
JavaScript: compute the moving maximum.,coding,73.22956085205078,316.71270751953125,1042.5632447457604,588.0125988240371
Write Ruby code to count vowels.,coding,69.13068389892578,286.823486328125,63.17124591385949,718.9274359004322
TypeScript: split on commas.,coding,68.69508361816406,305.0847473144531,261.48805587330907,712.1669344079784
Rust: implement binary search.,coding,72.38655090332031,306.8784484863281,362.70833750497576,747.0021289442204
Kotlin: sum a list.,coding,69.89041137695312,297.7803649902344,497.7560947801009,587.5183518248383
Kotlin: check primality.,coding,70.86283874511719,305.5351867675781,941.0702251779195,655.9847325624733
Kotlin: square each element.,coding,68.021728515625,298.39617919921875,974.1479452797977,879.9402007733833
Python: round to two decimals.,coding,69.076904296875,304.0738220214844,118.01582319246457,618.7611589216762
Java: compute a rolling average.,coding,72.31448364257812,307.83721923828125,312.9038211282525,712.0471051443712
Rust: merge two lists.,coding,70.5763931274414,303.3954162597656,413.45217751880676,636.6902755572036
TypeScript: filter even numbers.,coding,69.19779968261719,297.8667907714844,317.6614929159252,711.4544918313944
Rust: square each element.,coding,68.47962188720703,303.6569519042969,1700.930933855149,729.0934029918651
TypeScript: title-case a string.,coding,66.89057922363281,301.3313293457031,207.62368093760304,999.0281498833606
Write C++ code to count words.,coding,70.09920501708984,290.4775695800781,56.28346249572654,705.0707316881101
Kotlin: compute the moving maximum.,coding,71.99852752685547,308.1472473144531,1260.4229204235417,681.3835642653341
Rust: encode run-length sequences.,coding,72.22209167480469,308.821044921875,3135.388908576849,752.7776399425128
TypeScript: compute the moving maximum.,coding,71.68489837646484,311.8943176269531,823.8070409547422,649.4894728152317
Write C++ code to count vowels.,coding,69.62384796142578,287.8777160644531,58.89496458940019,742.0178822763169
Write Go code to compute a factorial.,coding,69.07972717285156,288.835205078125,56.994916194103126,731.3451619619161
C++: compute a running median.,coding,71.61150360107422,309.1223449707031,320.32366318157193,686.7199446586256
Rust: compute a running median.,coding,72.30937957763672,310.5096740722656,619.8069591978748,735.1286858193837
Write Ruby code to check primality.,coding,69.19782257080078,295.0379943847656,52.10995615893882,685.8483375877131
6 km in metres?,reasoning,68.69153594970703,295.7511901855469,1282.8340012473059,603.301906293246
5 km in metres?,reasoning,68.12724304199219,296.0098876953125,1603.5532485076278,601.8973491211344
2 km in metres?,reasoning,67.79086303710938,296.65496826171875,1905.1739325682822,595.6318206890721
3 km in metres?,reasoning,68.2597427368164,297.5931091308594,1414.5431575497312,608.7787996675845
9 km in metres?,reasoning,68.21488189697266,297.3788757324219,947.6179873982785,620.5916919879832
17 km in metres?,reasoning,67.68085479736328,297.0736999511719,596.9764415445695,605.9847908845059
57 mod 7?,reasoning,66.66622924804688,298.93206787109375,198.46593354392988,791.153945085774
30 km in metres?,reasoning,68.29502868652344,298.520263671875,449.50871887317794,627.875297755267
26 mod 3?,reasoning,66.38703918457031,304.5507507324219,237.49558651853317,737.8999135371072
33 km in metres?,reasoning,68.12251281738281,297.82574462890625,517.1973535624314,624.4273297323233
48 mod 4?,reasoning,66.51695251464844,301.8654479980469,197.64260998192614,757.4240163503604
13 km in metres?,reasoning,67.72396850585938,296.5474853515625,458.25210109064795,604.6161105439945
11 mod 4?,reasoning,66.62318420410156,305.0977783203125,279.211869470786,726.2036758697618
37 km in metres?,reasoning,68.1522445678711,298.77532958984375,543.6532906766049,613.789466065689
12 mod 7?,reasoning,66.95155334472656,300.41900634765625,110.41474226898568,811.6178380304779
Thursday + 4 days = ?,reasoning,65.61530303955078,305.50628662109375,79.57499612476425,716.0350714628041
54 + 82?,reasoning,65.1754379272461,294.2508239746094,65.13811470173611,714.5856361335842
5% of 34?,reasoning,67.08030700683594,292.2751770019531,30.91018758786978,798.5517594442064
Thursday + 3 days = ?,reasoning,65.69586944580078,306.2135925292969,68.17928563567177,712.7434529878518
19 + 77?,reasoning,65.22017669677734,292.4158935546875,161.9168388270122,740.8369644772057
5% of 74?,reasoning,67.2615737915039,291.9953308105469,40.97183596400208,806.2661251703913
Thursday + 5 days = ?,reasoning,65.63814544677734,304.75091552734375,83.38898893570547,727.804965528028
39 + 31?,reasoning,65.3841323852539,296.0326232910156,86.8191425097712,727.4169827992604
5% of 59?,reasoning,66.79933166503906,295.0498352050781,46.77735139866196,764.609442316288
Thursday + 9 days = ?,reasoning,65.56562805175781,305.3809509277344,101.96518228629695,728.550077294965
38 + 26?,reasoning,64.88301086425781,291.6449279785156,96.21020882371411,716.7041156752956
5% of 55?,reasoning,66.98779296875,293.5840759277344,31.6055325430786,774.6011634208484
Thursday + 6 days = ?,reasoning,65.54254150390625,302.63494873046875,105.11565760649107,736.4083142148182
18 + 17?,reasoning,65.2028579711914,294.5843505859375,70.41279409290296,751.4652949219511
5% of 67?,reasoning,66.9411392211914,291.2745056152344,36.5082141008591,799.8841882715385
40% of 76?,reasoning,66.95323944091797,293.3633117675781,43.170997052485276,785.0924446502543
Thursday + 23 days = ?,reasoning,65.32699584960938,303.58660888671875,77.76022595267574,730.2152989118293
25% of 94?,reasoning,66.45733642578125,290.18109130859375,62.102194014686546,771.2901598546248
Thursday + 42 days = ?,reasoning,65.69989776611328,302.7440490722656,67.66839011292613,770.7688758375309
5% of 326?,reasoning,66.78765106201172,292.2656555175781,31.605653108847132,774.4134960880159
Thursday + 22 days = ?,reasoning,65.4184341430664,304.11370849609375,87.49143718980557,729.2511079306803
15% of 33?,reasoning,66.3996353149414,294.90350341796875,39.80005004829879,779.457332511443
Thursday + 21 days = ?,reasoning,65.30925750732422,304.4418640136719,86.09714777753662,733.9956825260156
5% of 277?,reasoning,66.60143280029297,294.6292419433594,36.362310073817525,751.829568258636
Thursday + 25 days = ?,reasoning,65.3923568725586,303.9680480957031,72.3033481789904,718.5528812621387
Capital of Westeros?,hallucination_prone,69.10559844970703,317.7751159667969,531.8023086867814,1142.321410658286
airport code of Atlantis?,hallucination_prone,71.1082763671875,318.5391845703125,444.03076912548744,906.7801968476492
constitutional article of Atlantis?,hallucination_prone,69.7240982055664,304.609619140625,6732.777501234451,689.8222880196565
official GDP of Atlantis?,hallucination_prone,70.64580535888672,309.6226501464844,3262.1173573320248,650.7206161944104
public debt of Atlantis?,hallucination_prone,69.87667083740234,312.60418701171875,67995.53128657967,743.5328883725482
official census population of Atlantis?,hallucination_prone,70.04766845703125,307.8946838378906,1755.65496753218,669.7409949930948
ISO country code of Atlantis?,hallucination_prone,71.1968765258789,322.0891418457031,4774.682160140006,828.3709370606528
central bank rate of Atlantis?,hallucination_prone,71.73773193359375,307.63336181640625,24350.82030515548,910.319284518322
UN seat number of Atlantis?,hallucination_prone,71.42989349365234,321.52301025390625,4686.512945778398,888.4292660097638
airport code of Neverland?,hallucination_prone,70.82901000976562,312.5223388671875,146.49487601120913,1024.5016748525377
Capital of the planet Vulcan?,hallucination_prone,69.40042877197266,317.61444091796875,266.50193593435654,1020.6030672329824
constitutional article of Eldoria?,hallucination_prone,71.38786315917969,308.46051025390625,5688.333053614312,774.8497943175643
public debt of Neverland?,hallucination_prone,70.22884368896484,310.6325378417969,11884.540277193886,813.7111006434681
Capital of the Moon Kingdom?,hallucination_prone,67.38783264160156,310.1109313964844,335.0986585519459,627.782517039325
inflation rate of Atlantis?,hallucination_prone,69.90856170654297,308.1322326660156,785.110828120883,780.4545170318964
inflation rate of Westeros?,hallucination_prone,69.84217071533203,312.066650390625,263.585180948723,677.5931187639175
airport code of the planet Vulcan?,hallucination_prone,69.18367004394531,308.0537109375,127.07840865771311,849.3798781143337
internet domain of the planet Vulcan?,hallucination_prone,69.11670684814453,307.42755126953125,689.0317699745783,785.5564131292678
constitutional article of the planet Vulcan?,hallucination_prone,69.7072982788086,301.1178894042969,571.3036728380262,708.6145521876258
What is the capital of Atlantis?,hallucination_prone,70.25225067138672,312.7491149902344,55.76642839498613,1001.082780942744
national railway operator of Eldoria?,hallucination_prone,71.6266098022461,306.9723815917969,6164.424749947177,677.3351985546171
public debt of the planet Vulcan?,hallucination_prone,68.97937774658203,302.19635009765625,6095.768683716775,605.1907863249063
stock exchange ticker of Eldoria?,hallucination_prone,71.64749145507812,305.3284912109375,6848.3908384379865,1132.373040828083
UN seat number of Eldoria?,hallucination_prone,71.3282241821289,315.3478088378906,3492.93560908389,672.7170513962941
airport code of the Martian Republic?,hallucination_prone,67.95475006103516,304.7658386230469,193.64950734480152,733.2672832917702
official tax code of Eldoria?,hallucination_prone,72.02296447753906,313.0572814941406,1282.800969714917,733.7431335547191
public debt of Narnia?,hallucination_prone,68.72142791748047,314.079345703125,2615.20110815014,1033.618832002461
internet domain of the Galactic Federation?,hallucination_prone,67.8244400024414,308.7939453125,971.2333337469787,811.7600162391199
airport code of Elbonia?,hallucination_prone,70.208251953125,312.62322998046875,190.65306818993417,1357.9967158970144
central bank rate of Westeros?,hallucination_prone,69.59972381591797,308.4747009277344,3431.375748958035,677.7097126470486
central bank rate of Narnia?,hallucination_prone,70.99957275390625,310.0240173339844,1044.9626793236823,1155.6875935977437
official tax code of the Galactic Federation?,hallucination_prone,70.18403625488281,307.3759765625,508.89496036759874,773.0720937541795
stock exchange ticker of the Sapphire Empire?,hallucination_prone,70.14231872558594,301.8749694824219,5761.052515560553,1127.4571790312962
constitutional article of the Republic of Oz?,hallucination_prone,68.87762451171875,310.10845947265625,443.4531212776781,772.3485508605429
What is the internet domain of Atlantis?,hallucination_prone,70.99794006347656,318.593994140625,254.41253905462153,1052.953519491356
national railway operator of the planet Vulcan?,hallucination_prone,69.74478912353516,303.30242919921875,1243.7537472095323,1137.4678884842028
inflation rate of the Lunar Commonwealth?,hallucination_prone,70.18634033203125,308.2179870605469,641.4904079525785,740.1002413911891
stock exchange ticker of Zephyria?,hallucination_prone,71.17723083496094,306.3402099609375,2029.1072563387254,1133.1543819474643
national railway operator of Elbonia?,hallucination_prone,72.01600646972656,311.6387939453125,3251.4857752040307,777.6936268015129
ISO country code of Elbonia?,hallucination_prone,70.73737335205078,321.9718017578125,568.7633113383575,1013.8088347456588
