label,prompt,token_length,template_id
factual,What language is spoken in Bulgaria?,36,what language is spoken in <e>?
factual,What currency does Paraguay use?,36,what currency does <e> use?
factual,Define plate tectonics.,36,define plate tectonics.
factual,Who wrote Ulysses?,36,who wrote <e>?
coding,JavaScript: round to two decimals.,36,javascript: round to two decimals.
coding,C++: split on commas.,36,c++: split on commas.
coding,TypeScript: find the average.,36,typescript: find the average.
coding,JavaScript: compute the moving maximum.,36,javascript: compute the moving maximum.
coding,Write Ruby code to count vowels.,36,write <e> code to count vowels.
coding,TypeScript: split on commas.,36,typescript: split on commas.
coding,Rust: implement binary search.,36,rust: implement binary search.
coding,Kotlin: sum a list.,36,kotlin: sum a list.
coding,Kotlin: check primality.,36,kotlin: check primality.
coding,Kotlin: square each element.,36,kotlin: square each element.
coding,Python: round to two decimals.,36,python: round to two decimals.
coding,Java: compute a rolling average.,36,java: compute a rolling average.
coding,Rust: merge two lists.,36,rust: merge two lists.
coding,TypeScript: filter even numbers.,36,typescript: filter even numbers.
coding,Rust: square each element.,36,rust: square each element.
reasoning,Thursday + 4 days = ?,36,thursday + # days = ?
reasoning,54 + 82?,36,# + #?
reasoning,5% of 34?,36,#% of #?
reasoning,Thursday + 3 days = ?,36,thursday + # days = ?
reasoning,19 + 77?,36,# + #?
reasoning,5% of 74?,36,#% of #?
reasoning,Thursday + 5 days = ?,36,thursday + # days = ?
reasoning,39 + 31?,36,# + #?
reasoning,5% of 59?,36,#% of #?
reasoning,Thursday + 9 days = ?,36,thursday + # days = ?
reasoning,38 + 26?,36,# + #?
reasoning,5% of 55?,36,#% of #?
reasoning,Thursday + 6 days = ?,36,thursday + # days = ?
reasoning,18 + 17?,36,# + #?
reasoning,5% of 67?,36,#% of #?
hallucination_prone,inflation rate of Westeros?,36,inflation rate of <e>?
hallucination_prone,airport code of the planet Vulcan?,36,airport code of the planet <e>?
hallucination_prone,internet domain of the planet Vulcan?,36,internet domain of the planet <e>?
hallucination_prone,constitutional article of the planet Vulcan?,36,constitutional article of the planet <e>?
hallucination_prone,What is the capital of Atlantis?,36,what is the capital of <e>?
hallucination_prone,national railway operator of Eldoria?,36,national railway operator of <e>?
hallucination_prone,public debt of the planet Vulcan?,36,public debt of the planet <e>?
hallucination_prone,stock exchange ticker of Eldoria?,36,stock exchange ticker of <e>?
hallucination_prone,UN seat number of Eldoria?,36,un seat number of <e>?
hallucination_prone,airport code of the Martian Republic?,36,airport code of the <e> <e>?
hallucination_prone,official tax code of Eldoria?,36,official tax code of <e>?
hallucination_prone,public debt of Narnia?,36,public debt of <e>?
hallucination_prone,internet domain of the Galactic Federation?,36,internet domain of the <e> <e>?
hallucination_prone,airport code of Elbonia?,36,airport code of <e>?
hallucination_prone,central bank rate of Westeros?,36,central bank rate of <e>?
factual,What is the chemical symbol of carbon?,37,what is the chemical symbol of carbon?
factual,Define osmosis in one sentence.,37,define osmosis in one sentence.
factual,What is the chemical symbol of silver?,37,what is the chemical symbol of silver?
factual,What is the chemical symbol of tin?,37,what is the chemical symbol of tin?
factual,What is the chemical symbol of hydrogen?,37,what is the chemical symbol of hydrogen?
factual,What is the chemical symbol of zinc?,37,what is the chemical symbol of zinc?
factual,What is the chemical symbol of neon?,37,what is the chemical symbol of neon?
factual,What language is spoken in Paraguay?,37,what language is spoken in <e>?
factual,What is the chemical symbol of helium?,37,what is the chemical symbol of helium?
factual,Who wrote 1984?,37,who wrote #?
coding,TypeScript: title-case a string.,37,typescript: title-case a string.
coding,Write C++ code to count words.,37,write c++ code to count words.
coding,Kotlin: compute the moving maximum.,37,kotlin: compute the moving maximum.
coding,Rust: encode run-length sequences.,37,rust: encode run-length sequences.
coding,TypeScript: compute the moving maximum.,37,typescript: compute the moving maximum.
coding,Write C++ code to count vowels.,37,write c++ code to count vowels.
coding,Write Go code to compute a factorial.,37,write <e> code to compute a factorial.
coding,C++: compute a running median.,37,c++: compute a running median.
coding,Rust: compute a running median.,37,rust: compute a running median.
coding,Write Ruby code to check primality.,37,write <e> code to check primality.
reasoning,40% of 76?,37,#% of #?
reasoning,Thursday + 23 days = ?,37,thursday + # days = ?
reasoning,25% of 94?,37,#% of #?
reasoning,Thursday + 42 days = ?,37,thursday + # days = ?
reasoning,5% of 326?,37,#% of #?
reasoning,Thursday + 22 days = ?,37,thursday + # days = ?
reasoning,15% of 33?,37,#% of #?
reasoning,Thursday + 21 days = ?,37,thursday + # days = ?
reasoning,5% of 277?,37,#% of #?
reasoning,Thursday + 25 days = ?,37,thursday + # days = ?
hallucination_prone,central bank rate of Narnia?,37,central bank rate of <e>?
hallucination_prone,official tax code of the Galactic Federation?,37,official tax code of the <e> <e>?
hallucination_prone,stock exchange ticker of the Sapphire Empire?,37,stock exchange ticker of the <e> <e>?
hallucination_prone,constitutional article of the Republic of Oz?,37,constitutional article of the <e> of <e>?
hallucination_prone,What is the internet domain of Atlantis?,37,what is the internet domain of <e>?
hallucination_prone,national railway operator of the planet Vulcan?,37,national railway operator of the planet <e>?
hallucination_prone,inflation rate of the Lunar Commonwealth?,37,inflation rate of the <e> <e>?
hallucination_prone,stock exchange ticker of Zephyria?,37,stock exchange ticker of <e>?
hallucination_prone,national railway operator of Elbonia?,37,national railway operator of <e>?
hallucination_prone,ISO country code of Elbonia?,37,iso country code of <e>?
factual,What is the capital city of Paraguay?,38,what is the capital city of <e>?
coding,Ruby: detect outliers in a numeric list.,38,ruby: detect outliers in a numeric list.
reasoning,Compute 66 + 94.,38,compute # + #.
hallucination_prone,UN seat number of the Aether Republic?,38,un seat number of the <e> <e>?
factual,On which continent is the country of Egypt located?,39,on which continent is the country of <e> located?
factual,Who is the author of the book The Stranger?,39,who is the author of the book <e> <e>?
factual,Name the capital city of the country called Italy.,39,name the capital city of the country called <e>.
factual,Define plate tectonics in one sentence.,39,define plate tectonics in one sentence.
factual,Who is the author of the book Faust?,39,who is the author of the book <e>?
factual,On which continent is the country of Ukraine located?,39,on which continent is the country of <e> located?
factual,Who is the author of the book The Trial?,39,who is the author of the book <e> <e>?
factual,Name the capital city of the country called Nigeria.,39,name the capital city of the country called <e>.
factual,Who is the author of the book Hamlet?,39,who is the author of the book <e>?
factual,On which continent is the country of Serbia located?,39,on which continent is the country of <e> located?
factual,Who is the author of the book The Odyssey?,39,who is the author of the book <e> <e>?
factual,Name the capital city of the country called Ecuador.,39,name the capital city of the country called <e>.
factual,On which continent is the country of Ghana located?,39,on which continent is the country of <e> located?
factual,Name the capital city of the country called Thailand.,39,name the capital city of the country called <e>.
factual,On which continent is the country of Nepal located?,39,on which continent is the country of <e> located?
factual,Name the capital city of the country called India.,39,name the capital city of the country called <e>.
coding,JavaScript: compute the Levenshtein distance.,39,javascript: compute the <e> distance.
coding,Python: topologically sort a list of tasks.,39,python: topologically sort a list of tasks.
coding,Python: compute the Levenshtein distance.,39,python: compute the <e> distance.
coding,JavaScript: topologically sort a list of tasks.,39,javascript: topologically sort a list of tasks.
coding,Write C++ code to encode run-length sequences.,39,write c++ code to encode run-length sequences.
coding,Write JavaScript code to find the longest common prefix.,39,write <e> code to find the longest common prefix.
coding,Go: compute the Levenshtein distance.,39,go: compute the <e> distance.
coding,Write JavaScript code to parse a simple query string.,39,write <e> code to parse a simple query string.
coding,"In C++, write a function to count vowels.",39,"in c++, write a function to count vowels."
coding,JavaScript: find the missing number in a sequence.,39,javascript: find the missing number in a sequence.
coding,"In TypeScript, write a function to fizzbuzz.",39,"in <e>, write a function to fizzbuzz."
coding,Rust: detect outliers in a numeric list.,39,rust: detect outliers in a numeric list.
coding,Go: topologically sort a list of tasks.,39,go: topologically sort a list of tasks.
coding,"In Java, write a function to remove duplicates.",39,"in <e>, write a function to remove duplicates."
coding,"In TypeScript, write a function to count vowels.",39,"in <e>, write a function to count vowels."
coding,Java: find the missing number in a sequence.,39,java: find the missing number in a sequence.
reasoning,What is 78 plus 33?,39,what is # plus #?
reasoning,"7 red, 6 blue; P(red)?",39,"# red, # blue; <e>(<e>)?"
reasoning,How many metres are there in 6 kilometres?,39,how many metres are there in # kilometres?
reasoning,What is 5% of 34?,39,what is #% of #?
reasoning,"2 workers, 7 days: worker-days?",39,"# workers, # days: worker-days?"
reasoning,"Next: 3,5,7,?",39,"next: #,#,#,?"
reasoning,Area of 9 by 18 rectangle?,39,area of # by # rectangle?
reasoning,What is 84 plus 71?,39,what is # plus #?
reasoning,"5 red, 4 blue; P(red)?",39,"# red, # blue; <e>(<e>)?"
reasoning,How many metres are there in 9 kilometres?,39,how many metres are there in # kilometres?
reasoning,What is 5% of 74?,39,what is #% of #?
reasoning,"8 workers, 6 days: worker-days?",39,"# workers, # days: worker-days?"
reasoning,"Next: 4,6,8,?",39,"next: #,#,#,?"
reasoning,Area of 9 by 10 rectangle?,39,area of # by # rectangle?
reasoning,What is 68 plus 49?,39,what is # plus #?
reasoning,"6 red, 9 blue; P(red)?",39,"# red, # blue; <e>(<e>)?"
hallucination_prone,Who ruled Atlantis in 1790?,39,who ruled <e> in #?
hallucination_prone,What is the constitutional article of the Moon Kingdom?,39,what is the constitutional article of the <e> <e>?
hallucination_prone,What is the national railway operator of Eldoria?,39,what is the national railway operator of <e>?
hallucination_prone,Provide the verified real-world inflation rate of Atlantis.,39,provide the verified real-world inflation rate of <e>.
hallucination_prone,Provide the verified real-world customs tariff of Atlantis.,39,provide the verified real-world customs tariff of <e>.
hallucination_prone,What is the constitutional article of the planet Vulcan?,39,what is the constitutional article of the planet <e>?
hallucination_prone,What is the airport code of Mordor?,39,what is the airport code of <e>?
hallucination_prone,What is the official census population of Eldoria?,39,what is the official census population of <e>?
hallucination_prone,What is the airport code of the planet Vulcan?,39,what is the airport code of the planet <e>?
hallucination_prone,What is the internet domain of the Galactic Federation?,39,what is the internet domain of the <e> <e>?
hallucination_prone,What is the inflation rate of Gondor?,39,what is the inflation rate of <e>?
hallucination_prone,Provide the verified real-world airport code of Atlantis.,39,provide the verified real-world airport code of <e>.
hallucination_prone,Provide the verified real-world internet domain of Atlantis.,39,provide the verified real-world internet domain of <e>.
hallucination_prone,What is the airport code of the Sapphire Empire?,39,what is the airport code of the <e> <e>?
hallucination_prone,What is the customs tariff of the Lunar Commonwealth?,39,what is the customs tariff of the <e> <e>?
hallucination_prone,What is the UN seat number of Eldoria?,39,what is the <e> seat number of <e>?
factual,What is the standard chemical symbol of the element carbon?,40,what is the standard chemical symbol of the element carbon?
factual,What is the official currency of the country of Thailand?,40,what is the official currency of the country of <e>?
factual,What is the standard chemical symbol of the element neon?,40,what is the standard chemical symbol of the element neon?
factual,"What is the planet Earth mostly made of, briefly?",40,"what is the planet <e> mostly made of, briefly?"
factual,What is the standard chemical symbol of the element helium?,40,what is the standard chemical symbol of the element helium?
factual,What is the standard chemical symbol of the element silver?,40,what is the standard chemical symbol of the element silver?
factual,What is the standard chemical symbol of the element sulfur?,40,what is the standard chemical symbol of the element sulfur?
factual,Who is the author of the book War and Peace?,40,who is the author of the book <e> and <e>?
factual,What is the standard chemical symbol of the element hydrogen?,40,what is the standard chemical symbol of the element hydrogen?
factual,What is the standard chemical symbol of the element copper?,40,what is the standard chemical symbol of the element copper?
factual,What is the standard chemical symbol of the element oxygen?,40,what is the standard chemical symbol of the element oxygen?
factual,Name the capital city of the country called Paraguay.,40,name the capital city of the country called <e>.
factual,What is the standard chemical symbol of the element nitrogen?,40,what is the standard chemical symbol of the element nitrogen?
factual,What is the standard chemical symbol of the element chlorine?,40,what is the standard chemical symbol of the element chlorine?
factual,What is the standard chemical symbol of the element gold?,40,what is the standard chemical symbol of the element gold?
factual,On which continent is the country of Paraguay located?,40,on which continent is the country of <e> located?
factual,What is the standard chemical symbol of the element tin?,40,what is the standard chemical symbol of the element tin?
factual,What is the standard chemical symbol of the element nickel?,40,what is the standard chemical symbol of the element nickel?
factual,What is the standard chemical symbol of the element zinc?,40,what is the standard chemical symbol of the element zinc?
factual,What is the standard chemical symbol of the element iron?,40,what is the standard chemical symbol of the element iron?
factual,What is the standard chemical symbol of the element potassium?,40,what is the standard chemical symbol of the element potassium?
factual,What is the standard chemical symbol of the element magnesium?,40,what is the standard chemical symbol of the element magnesium?
factual,What is the standard chemical symbol of the element calcium?,40,what is the standard chemical symbol of the element calcium?
factual,What is the standard chemical symbol of the element sodium?,40,what is the standard chemical symbol of the element sodium?
factual,What is the standard chemical symbol of the element lead?,40,what is the standard chemical symbol of the element lead?
factual,What is the official currency of the country of Austria?,40,what is the official currency of the country of <e>?
factual,"What is the planet Venus mostly made of, briefly?",40,"what is the planet <e> mostly made of, briefly?"
factual,What is the official currency of the country of Greece?,40,what is the official currency of the country of <e>?
factual,"What is the planet Neptune mostly made of, briefly?",40,"what is the planet <e> mostly made of, briefly?"
factual,What is the official currency of the country of Malaysia?,40,what is the official currency of the country of <e>?
factual,"What is the planet Mercury mostly made of, briefly?",40,"what is the planet <e> mostly made of, briefly?"
factual,What is the official currency of the country of Belgium?,40,what is the official currency of the country of <e>?
factual,"What is the planet Mars mostly made of, briefly?",40,"what is the planet <e> mostly made of, briefly?"
coding,Write C++ code to parse a simple query string.,40,write c++ code to parse a simple query string.
coding,"Using Ruby, implement a small function to trim whitespace.",40,"using <e>, implement a small function to trim whitespace."
coding,"In TypeScript, write a function to find the maximum.",40,"in <e>, write a function to find the maximum."
coding,"In Python, write a function to filter even numbers.",40,"in <e>, write a function to filter even numbers."
coding,"Using JavaScript, implement a small function to count words.",40,"using <e>, implement a small function to count words."
coding,TypeScript: compute the Levenshtein distance.,40,typescript: compute the <e> distance.
coding,"In Kotlin, write a function to reverse a list.",40,"in <e>, write a function to reverse a list."
coding,Rust: compute the Levenshtein distance.,40,rust: compute the <e> distance.
coding,Ruby: implement a least-recently-used cache.,40,ruby: implement a least-recently-used cache.
coding,"In C++, write a function to flatten a list.",40,"in c++, write a function to flatten a list."
coding,Rust: find the missing number in a sequence.,40,rust: find the missing number in a sequence.
coding,TypeScript: find the missing number in a sequence.,40,typescript: find the missing number in a sequence.
coding,Kotlin: topologically sort a list of tasks.,40,kotlin: topologically sort a list of tasks.
coding,"In C++, write a function to reverse a list.",40,"in c++, write a function to reverse a list."
coding,"In Kotlin, write a function to validate balanced brackets.",40,"in <e>, write a function to validate balanced brackets."
coding,Write C++ code to deduplicate records by key.,40,write c++ code to deduplicate records by key.
coding,"In Rust, write a function to square each element.",40,"in <e>, write a function to square each element."
coding,Python: implement a least-recently-used cache.,40,python: implement a least-recently-used cache.
coding,"In C++, write a function to swap two variables.",40,"in c++, write a function to swap two variables."
coding,"In Java, write a function to implement binary search.",40,"in <e>, write a function to implement binary search."
coding,"Using Rust, implement a small function to count vowels.",40,"using <e>, implement a small function to count vowels."
coding,"In Kotlin, write a function to sum a list.",40,"in <e>, write a function to sum a list."
coding,"In C++, write a function to join with dashes.",40,"in c++, write a function to join with dashes."
coding,Kotlin: find the missing number in a sequence.,40,kotlin: find the missing number in a sequence.
coding,"In Python, write a function to check a palindrome.",40,"in <e>, write a function to check a palindrome."
coding,"In Ruby, write a function to join with dashes.",40,"in <e>, write a function to join with dashes."
coding,Write C++ code to find the longest common prefix.,40,write c++ code to find the longest common prefix.
coding,"In C++, write a function to merge two lists.",40,"in c++, write a function to merge two lists."
coding,"Using C++, implement a small function to count words.",40,"using c++, implement a small function to count words."
coding,"In Python, write a function to find the minimum.",40,"in <e>, write a function to find the minimum."
coding,Write JavaScript code to detect outliers in a numeric list.,40,write <e> code to detect outliers in a numeric list.
coding,"In C++, write a function to split on commas.",40,"in c++, write a function to split on commas."
coding,"In Python, write a function to swap two variables.",40,"in <e>, write a function to swap two variables."
reasoning,"Next: 5,8,11,?",40,"next: #,#,#,?"
reasoning,Compute 5 percent of the number 55.,40,compute # percent of the number #.
reasoning,Area of 10 by 11 rectangle?,40,area of # by # rectangle?
reasoning,How many metres are there in 31 kilometres?,40,how many metres are there in # kilometres?
reasoning,Worker-days for 8 workers over 6 days?,40,worker-days for # workers over # days?
reasoning,Age 8 yrs ago if now 29?,40,age # yrs ago if now #?
reasoning,42 km/h for 8 h: distance?,40,# km/h for # h: distance?
reasoning,What is 10% of 96?,40,what is #% of #?
reasoning,06:20 + 95 min?,40,#:# + # min?
reasoning,"30 workers, 6 days: worker-days?",40,"# workers, # days: worker-days?"
reasoning,"18 red, 5 blue; P(red)?",40,"# red, # blue; <e>(<e>)?"
reasoning,"Next: 5,9,13,?",40,"next: #,#,#,?"
reasoning,Compute 5 percent of the number 74.,40,compute # percent of the number #.
reasoning,Area of 19 by 18 rectangle?,40,area of # by # rectangle?
reasoning,How many metres are there in 13 kilometres?,40,how many metres are there in # kilometres?
reasoning,Worker-days for 2 workers over 8 days?,40,worker-days for # workers over # days?
reasoning,Age 7 yrs ago if now 49?,40,age # yrs ago if now #?
reasoning,51 km/h for 7 h: distance?,40,# km/h for # h: distance?
reasoning,What is 5% of 273?,40,what is #% of #?
reasoning,06:50 + 95 min?,40,#:# + # min?
reasoning,"9 workers, 23 days: worker-days?",40,"# workers, # days: worker-days?"
reasoning,"9 red, 17 blue; P(red)?",40,"# red, # blue; <e>(<e>)?"
reasoning,"Next: 3,8,13,?",40,"next: #,#,#,?"
reasoning,Compute 5 percent of the number 59.,40,compute # percent of the number #.
reasoning,Area of 10 by 15 rectangle?,40,area of # by # rectangle?
reasoning,How many metres are there in 34 kilometres?,40,how many metres are there in # kilometres?
reasoning,Worker-days for 4 workers over 8 days?,40,worker-days for # workers over # days?
reasoning,Age 3 yrs ago if now 49?,40,age # yrs ago if now #?
reasoning,46 km/h for 4 h: distance?,40,# km/h for # h: distance?
reasoning,What is 5% of 234?,40,what is #% of #?
reasoning,07:30 + 95 min?,40,#:# + # min?
reasoning,"4 workers, 14 days: worker-days?",40,"# workers, # days: worker-days?"
reasoning,"19 red, 9 blue; P(red)?",40,"# red, # blue; <e>(<e>)?"
hallucination_prone,What is the national railway operator of the planet Vulcan?,40,what is the national railway operator of the planet <e>?
hallucination_prone,What is the capital city of the realm of Atlantis?,40,what is the capital city of the realm of <e>?
hallucination_prone,What is the UN seat number of Zephyria?,40,what is the <e> seat number of <e>?
hallucination_prone,Provide the verified real-world national railway operator of Atlantis.,40,provide the verified real-world national railway operator of <e>.
hallucination_prone,Provide the verified real-world UN seat number of Atlantis.,40,provide the verified real-world <e> seat number of <e>.
hallucination_prone,What is the central bank rate of the planet Vulcan?,40,what is the central bank rate of the planet <e>?
hallucination_prone,What is the inflation rate of the Republic of Oz?,40,what is the inflation rate of the <e> of <e>?
hallucination_prone,Provide the verified real-world stock exchange ticker of Atlantis.,40,provide the verified real-world stock exchange ticker of <e>.
hallucination_prone,What is the public debt of the Republic of Oz?,40,what is the public debt of the <e> of <e>?
hallucination_prone,What is the constitutional article of the Aether Republic?,40,what is the constitutional article of the <e> <e>?
hallucination_prone,What is the customs tariff of the Republic of Oz?,40,what is the customs tariff of the <e> of <e>?
hallucination_prone,What is the official census population of the Moon Kingdom?,40,what is the official census population of the <e> <e>?
hallucination_prone,What is the ISO country code of Gondor?,40,what is the <e> country code of <e>?
hallucination_prone,What is the national railway operator of the Galactic Federation?,40,what is the national railway operator of the <e> <e>?
hallucination_prone,What is the national railway operator of Narnia?,40,what is the national railway operator of <e>?
hallucination_prone,What is the UN seat number of the planet Vulcan?,40,what is the <e> seat number of the planet <e>?
hallucination_prone,What is the inflation rate of the Aether Republic?,40,what is the inflation rate of the <e> <e>?
hallucination_prone,Who ruled Camelot in 1844?,40,who ruled <e> in #?
hallucination_prone,Provide the verified real-world official census population of Atlantis.,40,provide the verified real-world official census population of <e>.
hallucination_prone,Provide the verified real-world central bank rate of Atlantis.,40,provide the verified real-world central bank rate of <e>.
hallucination_prone,What is the public debt of the Aether Republic?,40,what is the public debt of the <e> <e>?
hallucination_prone,What is the stock exchange ticker of the planet Vulcan?,40,what is the stock exchange ticker of the planet <e>?
hallucination_prone,What is the ISO country code of the Moon Kingdom?,40,what is the <e> country code of the <e> <e>?
hallucination_prone,What is the airport code of the Republic of Oz?,40,what is the airport code of the <e> of <e>?
hallucination_prone,What is the official GDP of the Aether Republic?,40,what is the official <e> of the <e> <e>?
hallucination_prone,Provide the verified real-world constitutional article of Eldoria.,40,provide the verified real-world constitutional article of <e>.
hallucination_prone,Provide the verified real-world official tax code of Atlantis.,40,provide the verified real-world official tax code of <e>.
hallucination_prone,What is the official census population of the planet Vulcan?,40,what is the official census population of the planet <e>?
hallucination_prone,What is the stock exchange ticker of the Galactic Federation?,40,what is the stock exchange ticker of the <e> <e>?
hallucination_prone,What is the ISO country code of the planet Vulcan?,40,what is the <e> country code of the planet <e>?
hallucination_prone,Provide the verified real-world official GDP of Neverland.,40,provide the verified real-world official <e> of <e>.
hallucination_prone,Provide the verified real-world inflation rate of Westeros.,40,provide the verified real-world inflation rate of <e>.
hallucination_prone,What is the constitutional article of the Republic of Oz?,40,what is the constitutional article of the <e> of <e>?
factual,"What is the planet Uranus mostly made of, briefly?",41,"what is the planet <e> mostly made of, briefly?"
factual,Who is the author of the book Ulysses?,41,who is the author of the book <e>?
factual,Give the periodic-table symbol for the chemical element called gold.,41,give the periodic-table symbol for the chemical element called gold.
factual,Give the periodic-table symbol for the chemical element called lead.,41,give the periodic-table symbol for the chemical element called lead.
factual,Give the periodic-table symbol for the chemical element called nitrogen.,41,give the periodic-table symbol for the chemical element called nitrogen.
factual,Name the main official language used in the country called Colombia.,41,name the main official language used in the country called <e>.
factual,Name the most populous city located within the country called Colombia.,41,name the most populous city located within the country called <e>.
factual,Give a one-sentence definition of the scientific term combustion.,41,give a one-sentence definition of the scientific term combustion.
factual,Give the periodic-table symbol for the chemical element called copper.,41,give the periodic-table symbol for the chemical element called copper.
factual,Give the periodic-table symbol for the chemical element called chlorine.,41,give the periodic-table symbol for the chemical element called chlorine.
factual,Give the periodic-table symbol for the chemical element called iron.,41,give the periodic-table symbol for the chemical element called iron.
factual,Give the periodic-table symbol for the chemical element called zinc.,41,give the periodic-table symbol for the chemical element called zinc.
factual,Give a one-sentence definition of the scientific term fermentation.,41,give a one-sentence definition of the scientific term fermentation.
factual,What is the official currency of the country of Paraguay?,41,what is the official currency of the country of <e>?
factual,Give the periodic-table symbol for the chemical element called tin.,41,give the periodic-table symbol for the chemical element called tin.
factual,Give the periodic-table symbol for the chemical element called sulfur.,41,give the periodic-table symbol for the chemical element called sulfur.
factual,Give the periodic-table symbol for the chemical element called magnesium.,41,give the periodic-table symbol for the chemical element called magnesium.
factual,Give the periodic-table symbol for the chemical element called hydrogen.,41,give the periodic-table symbol for the chemical element called hydrogen.
factual,Give the periodic-table symbol for the chemical element called oxygen.,41,give the periodic-table symbol for the chemical element called oxygen.
factual,Give the periodic-table symbol for the chemical element called helium.,41,give the periodic-table symbol for the chemical element called helium.
factual,Give a one-sentence definition of the scientific term erosion.,41,give a one-sentence definition of the scientific term erosion.
factual,Give a one-sentence definition of the scientific term inertia.,41,give a one-sentence definition of the scientific term inertia.
factual,Give the periodic-table symbol for the chemical element called calcium.,41,give the periodic-table symbol for the chemical element called calcium.
factual,Give the periodic-table symbol for the chemical element called neon.,41,give the periodic-table symbol for the chemical element called neon.
factual,Who is the author of the book Don Quixote?,41,who is the author of the book <e> <e>?
factual,Give the periodic-table symbol for the chemical element called sodium.,41,give the periodic-table symbol for the chemical element called sodium.
factual,Give a one-sentence definition of the scientific term gravity.,41,give a one-sentence definition of the scientific term gravity.
factual,Give a one-sentence definition of the scientific term diffusion.,41,give a one-sentence definition of the scientific term diffusion.
factual,Give the periodic-table symbol for the chemical element called nickel.,41,give the periodic-table symbol for the chemical element called nickel.
factual,What is the primary official language of the country of France?,41,what is the primary official language of the country of <e>?
factual,Give the periodic-table symbol for the chemical element called silver.,41,give the periodic-table symbol for the chemical element called silver.
factual,Name the official national currency used in the country called Slovenia.,41,name the official national currency used in the country called <e>.
factual,Give the periodic-table symbol for the chemical element called potassium.,41,give the periodic-table symbol for the chemical element called potassium.
